COUNTY,MOMBASA,,,
,Age,Male,Female,Total
MOMBASA,Total,"610,257","598,046","1,208,303"
MOMBASA,0,"15,111","15,009","30,120"
MOMBASA,1,"15,805","15,308","31,113"
MOMBASA,2,"15,088","14,837","29,925"
MOMBASA,3,"14,660","14,031","28,691"
MOMBASA,4,"14,061","13,993","28,054"
MOMBASA,0 - 4,"74,725","73,178","147,903"
MOMBASA,5,"13,851","14,023","27,874"
MOMBASA,6,"12,889","13,216","26,105"
MOMBASA,7,"13,268","13,203","26,471"
MOMBASA,8,"11,996","12,423","24,419"
MOMBASA,9,"12,523","12,594","25,117"
MOMBASA,CD LO,"64,527","65,459","129,986"
MOMBASA,10,"12,349","12,343","24,692"
MOMBASA,11,"11,115","11,497","22,612"
MOMBASA,12,"11,661","11,630","23,291"
MOMBASA,13,"11,631","12,081","23,712"
MOMBASA,14,"10,388","10,729","21,117"
MOMBASA,10-14,"57,144","58,280","115,424"
MOMBASA,15,"9,199","9,724","18,923"
MOMBASA,16,"8,922","9,863","18,785"
MOMBASA,17,"9,863","10,487","20,350"
MOMBASA,18,"8,964","10,217","19,181"
MOMBASA,19,"10,596","12,898","23,494"
MOMBASA,15-19,"47,544","53,189","100,733"
MOMBASA,20,"11,186","14,416","25,602"
MOMBASA,21,"11,527","13,706","25,233"
MOMBASA,22,"12,833","15,192","28,025"
MOMBASA,23,"14,195","16,513","30,708"
MOMBASA,24,"14,081","16,084","30,165"
MOMBASA,20-24,"63,822","75,911","139,733"
MOMBASA,25,"16,231","16,675","32,906"
MOMBASA,26,"14,231","15,107","29,338"
MOMBASA,27,"14,111","14,768","28,879"
MOMBASA,28,"12,333","13,049","25,382"
MOMBASA,29,"12,921","13,202","26,123"
MOMBASA,25-29,"69,827","72,801","142,628"
MOMBASA,30,"15,982","16,319","32,301"
MOMBASA,31,"10,866","10,548","21,414"
MOMBASA,32,"13,578","13,379","26,957"
MOMBASA,33,"10,592","10,562","21,154"
MOMBASA,34,"10,335","10,056","20,391"
MOMBASA,30-34,"61,353","60,864","122,217"
MOMBASA,35,"12,644","11,396","24,040"
MOMBASA,36,"9,495","8,491","17,986"
MOMBASA,37,"9,167","8,165","17,332"
MOMBASA,38,"7,666","6,978","14,644"
MOMBASA,39,"8,106","7,005","15,111"
MOMBASA,35-39,"47,078","42,035","89,113"
MOMBASA,40,"10,190","8,555","18,745"
MOMBASA,41,"8,490","6,541","15,031"
MOMBASA,42,"8,405","6,505","14,910"
MOMBASA,43,"6,979","5,521","12,500"
MOMBASA,44,"6,034","4,598","10,632"
